family,batch_label,batch,optimizer,lr,seed,score,path
streaming_ddp_top1_old,1M,1048576,top1_damp_a05,0.01,42,0.9423113244816325,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz1048576_lr0p01/result.json
streaming_ddp_top1_old,1M,1048576,top1_damp_a05,0.02,42,0.9331610452434207,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz1048576_lr0p02/result.json
streaming_ddp_top1_old,1M,1048576,top1_damp_a05,0.04,42,0.9375381005240998,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz1048576_lr0p04/result.json
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.005,42,0.9204706786387604,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p005/result.json
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.01,42,0.917040211463987,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p01/result.json
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.02,42,0.9198999001390801,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p02/result.json
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.04,42,0.9278625427732348,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p04/result.json
streaming_ddp_top1_old,8M,8388608,top1_damp_a05,0.01,42,1.099640353668661,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz8388608_lr0p01/result.json
streaming_ddp_top1_old,8M,8388608,top1_damp_a05,0.02,42,1.0831203082196106,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz8388608_lr0p02/result.json
streaming_ddp_top1_old,8M,8388608,top1_damp_a05,0.04,42,1.0878700576615432,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz8388608_lr0p04/result.json
