source,case,method,alpha,batch,batch_label,lr,seed,score,val_bpb_final,steps_completed,tokens,path
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz1048576_lr0p08_s42,top_aware_muon,0.5,1048576,1M,0.08,42,1.009856417484363,1.009856417484363,384,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz1048576_lr0p08_s42/result.json
v58_262k_1m_best_metrics_20260502_095901,top_aware_k1_a0p5_bsz1048576_lr0p08_s42,top_aware_muon,0.5,1048576,1M,0.08,42,1.0102222286857956,1.0102222286857956,384,402653184,search_evals/v58_262k_1m_best_metrics_20260502_095901/top_aware_k1_a0p5_bsz1048576_lr0p08_s42/result.json
v52_1m_seed_confirm,top_aware_k1_a0p5_bsz1048576_lr0p08_s43,top_aware_muon,0.5,1048576,1M,0.08,43,1.0029473748682778,1.0029473748682778,384,402653184,search_evals/v52_1m_seed_confirm/top_aware_k1_a0p5_bsz1048576_lr0p08_s43/result.json
v52_1m_seed_confirm,top_aware_k1_a0p5_bsz1048576_lr0p08_s44,top_aware_muon,0.5,1048576,1M,0.08,44,1.0068223363430688,1.0068223363430688,384,402653184,search_evals/v52_1m_seed_confirm/top_aware_k1_a0p5_bsz1048576_lr0p08_s44/result.json
v47_1m_topaware_lr016_boundary,top_aware_k1_a0p5_bsz1048576_lr0p16_s42,top_aware_muon,0.5,1048576,1M,0.16,42,1.0227828333847784,1.0227828333847784,384,402653184,search_evals/v47_1m_topaware_lr016_boundary/top_aware_k1_a0p5_bsz1048576_lr0p16_s42/result.json
v55_1m_topaware_s43s44_lr016,top_aware_k1_a0p5_bsz1048576_lr0p16_s43,top_aware_muon,0.5,1048576,1M,0.16,43,1.0217700239601741,1.0217700239601741,384,402653184,search_evals/v55_1m_topaware_s43s44_lr016/top_aware_k1_a0p5_bsz1048576_lr0p16_s43/result.json
v55_1m_topaware_s43s44_lr016,top_aware_k1_a0p5_bsz1048576_lr0p16_s44,top_aware_muon,0.5,1048576,1M,0.16,44,1.0245117604395984,1.0245117604395984,384,402653184,search_evals/v55_1m_topaware_s43s44_lr016/top_aware_k1_a0p5_bsz1048576_lr0p16_s44/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz2097152_lr0p01_s42,streaming_identity,1.0,2097152,2M,0.01,42,1.1141172468340115,1.1141172468340115,192,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz2097152_lr0p01_s42/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz2097152_lr0p02_s42,streaming_identity,1.0,2097152,2M,0.02,42,1.080174908581694,1.080174908581694,192,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz2097152_lr0p02_s42/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz2097152_lr0p04_s42,streaming_identity,1.0,2097152,2M,0.04,42,1.1158128458728565,1.1158128458728565,192,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz2097152_lr0p04_s42/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz2097152_lr0p08_s42,streaming_identity,1.0,2097152,2M,0.08,42,1.0685247383365046,1.0685247383365046,192,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz2097152_lr0p08_s42/result.json
v46_2m_best_metrics,streaming_identity_bsz2097152_lr0p08_s42,streaming_identity,1.0,2097152,2M,0.08,42,1.0677657289987728,1.0677657289987728,192,402653184,search_evals/v46_2m_best_metrics/streaming_identity_bsz2097152_lr0p08_s42/result.json
v49_2m_seed_confirm,streaming_identity_bsz2097152_lr0p08_s43,streaming_identity,1.0,2097152,2M,0.08,43,1.0629758410332526,1.0629758410332526,192,402653184,search_evals/v49_2m_seed_confirm/streaming_identity_bsz2097152_lr0p08_s43/result.json
v49_2m_seed_confirm,streaming_identity_bsz2097152_lr0p08_s44,streaming_identity,1.0,2097152,2M,0.08,44,1.081494842918731,1.081494842918731,192,402653184,search_evals/v49_2m_seed_confirm/streaming_identity_bsz2097152_lr0p08_s44/result.json
v50_2m_seed_confirm_more,streaming_identity_bsz2097152_lr0p08_s45,streaming_identity,1.0,2097152,2M,0.08,45,1.0817732767565416,1.0817732767565416,192,402653184,search_evals/v50_2m_seed_confirm_more/streaming_identity_bsz2097152_lr0p08_s45/result.json
v50_2m_seed_confirm_more,streaming_identity_bsz2097152_lr0p08_s46,streaming_identity,1.0,2097152,2M,0.08,46,1.068683843386682,1.068683843386682,192,402653184,search_evals/v50_2m_seed_confirm_more/streaming_identity_bsz2097152_lr0p08_s46/result.json
v45_d8_2m_lr016_boundary,streaming_identity_bsz2097152_lr0p16_s42,streaming_identity,1.0,2097152,2M,0.16,42,1.0860514347724246,1.0860514347724246,192,402653184,search_evals/v45_d8_2m_lr016_boundary/streaming_identity_bsz2097152_lr0p16_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz2097152_lr0p01_s42,top_aware_muon,0.5,2097152,2M,0.01,42,1.213014873891157,1.213014873891157,192,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz2097152_lr0p01_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz2097152_lr0p02_s42,top_aware_muon,0.5,2097152,2M,0.02,42,1.0948790843255543,1.0948790843255543,192,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz2097152_lr0p02_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz2097152_lr0p04_s42,top_aware_muon,0.5,2097152,2M,0.04,42,1.0934748156176581,1.0934748156176581,192,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz2097152_lr0p04_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz2097152_lr0p08_s42,top_aware_muon,0.5,2097152,2M,0.08,42,1.0825410528115191,1.0825410528115191,192,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz2097152_lr0p08_s42/result.json
v46_2m_best_metrics,top_aware_k1_a0p5_bsz2097152_lr0p08_s42,top_aware_muon,0.5,2097152,2M,0.08,42,1.0833901202445928,1.0833901202445928,192,402653184,search_evals/v46_2m_best_metrics/top_aware_k1_a0p5_bsz2097152_lr0p08_s42/result.json
v49_2m_seed_confirm,top_aware_k1_a0p5_bsz2097152_lr0p08_s43,top_aware_muon,0.5,2097152,2M,0.08,43,1.0662482899409782,1.0662482899409782,192,402653184,search_evals/v49_2m_seed_confirm/top_aware_k1_a0p5_bsz2097152_lr0p08_s43/result.json
v49_2m_seed_confirm,top_aware_k1_a0p5_bsz2097152_lr0p08_s44,top_aware_muon,0.5,2097152,2M,0.08,44,1.0724025254474328,1.0724025254474328,192,402653184,search_evals/v49_2m_seed_confirm/top_aware_k1_a0p5_bsz2097152_lr0p08_s44/result.json
v50_2m_seed_confirm_more,top_aware_k1_a0p5_bsz2097152_lr0p08_s45,top_aware_muon,0.5,2097152,2M,0.08,45,1.0741800679342517,1.0741800679342517,192,402653184,search_evals/v50_2m_seed_confirm_more/top_aware_k1_a0p5_bsz2097152_lr0p08_s45/result.json
v50_2m_seed_confirm_more,top_aware_k1_a0p5_bsz2097152_lr0p08_s46,top_aware_muon,0.5,2097152,2M,0.08,46,1.0706159264345338,1.0706159264345338,192,402653184,search_evals/v50_2m_seed_confirm_more/top_aware_k1_a0p5_bsz2097152_lr0p08_s46/result.json
v45_d8_2m_lr016_boundary,top_aware_k1_a0p5_bsz2097152_lr0p16_s42,top_aware_muon,0.5,2097152,2M,0.16,42,1.0892244792498937,1.0892244792498937,192,402653184,search_evals/v45_d8_2m_lr016_boundary/top_aware_k1_a0p5_bsz2097152_lr0p16_s42/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz4194304_lr0p005_s42,streaming_identity,1.0,4194304,4M,0.005,42,1.5885742301876973,1.5885742301876973,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz4194304_lr0p005_s42/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz4194304_lr0p01_s42,streaming_identity,1.0,4194304,4M,0.01,42,1.4341679955494888,1.4341679955494888,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz4194304_lr0p01_s42/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz4194304_lr0p02_s42,streaming_identity,1.0,4194304,4M,0.02,42,1.2071547943517884,1.2071547943517884,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz4194304_lr0p02_s42/result.json
v43_4m_best_metrics,streaming_identity_bsz4194304_lr0p02_s42,streaming_identity,1.0,4194304,4M,0.02,42,1.2066424123322734,1.2066424123322734,96,402653184,search_evals/v43_4m_best_metrics/streaming_identity_bsz4194304_lr0p02_s42/result.json
v51_4m_seed_confirm,streaming_identity_bsz4194304_lr0p02_s43,streaming_identity,1.0,4194304,4M,0.02,43,1.2515662593962247,1.2515662593962247,96,402653184,search_evals/v51_4m_seed_confirm/streaming_identity_bsz4194304_lr0p02_s43/result.json
v51_4m_seed_confirm,streaming_identity_bsz4194304_lr0p02_s44,streaming_identity,1.0,4194304,4M,0.02,44,1.2236286877439337,1.2236286877439337,96,402653184,search_evals/v51_4m_seed_confirm/streaming_identity_bsz4194304_lr0p02_s44/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz4194304_lr0p04_s42,streaming_identity,1.0,4194304,4M,0.04,42,1.2068139791623371,1.2068139791623371,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz4194304_lr0p04_s42/result.json
