catalog_source,source,family,batch_label,batch,method,variant,alpha,top_k,lr,seed,score,status,quality,tokens,depth,path,notes
figures/topaware_alpha_dashboard/raw_rows.csv,v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,512K,524288,streaming_identity,alpha=1 identity,1,,0.01,42,0.920964223084,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/streaming_identity_bsz524288_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,512K,524288,top_aware_muon,"top_k=1, alpha=0.25",0.25,1,0.01,42,0.923897378299,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p25_bsz524288_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,512K,524288,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.01,42,0.922203010947,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p5_bsz524288_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,512K,524288,top_aware_muon,"top_k=1, alpha=0.75",0.75,1,0.02,42,0.924523437834,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p75_bsz524288_lr0p02_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v31_topaware_k1_512k_alpha_sweep_20260501,same_driver_streaming_ddp,512K,524288,top_aware_muon,"top_k=1, alpha=0.875",0.875,1,0.01,42,0.924970178152,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p875_bsz524288_lr0p01_s42/result.json,
figures/native_streaming_topk/native_streaming_topk_raw.csv,native_ddp_exact_control,native_ddp_or_control,1M,1048576,native_muon,native Muon,,,0.01,42,0.933374706807,complete,full_or_historical,,8,sweep_results_v21_exact_native_controls_top1/native_muon_bsz1048576_lr0.01_s42.json,single exact-control LR
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,1M,1048576,native_lite,native LITE,,,0.02,42,0.906797957738,complete,full_or_historical,,8,sweep_results_v9/lite_bsz1048576_lr0.02_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,1M,1048576,native_muon,native Muon,,,0.01,42,0.910022068786,complete,full_or_historical,,8,sweep_results_v9/muon_bsz1048576_lr0.01_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,streaming_ddp_top1_old,streaming_ddp_top1_old,1M,1048576,streaming_identity,alpha=1 identity,1,,0.01,42,0.93497894361,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz1048576_lr0p01/result.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,streaming_ddp_top1_old,streaming_ddp_top1_old,1M,1048576,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.02,42,0.933161045243,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz1048576_lr0p02/result.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,4M,4194304,native_lite,native LITE,,,0.04,42,0.969288754419,complete,full_or_historical,,8,sweep_results_v9/lite_bsz4194304_lr0.04_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,4M,4194304,native_muon,native Muon,,,0.04,42,0.979475380653,complete,full_or_historical,,8,sweep_results_v9/muon_bsz4194304_lr0.04_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/native_streaming_topk/native_streaming_topk_raw.csv,native_ddp_exact_control,native_ddp_or_control,8M,8388608,native_muon,native Muon,,,0.02,42,1.11869260381,complete,full_or_historical,,8,sweep_results_v21_exact_native_controls_top1/native_muon_bsz8388608_lr0.02_s42.json,single exact-control LR
figures/historical_large_batch/raw_rows.csv,streaming_ddp_top1_old,streaming_ddp_top1_old,8M,8388608,streaming_identity,alpha=1 identity,1,,0.02,42,1.09850111514,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz8388608_lr0p02/result.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,streaming_ddp_top1_old,streaming_ddp_top1_old,8M,8388608,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.02,42,1.08312030822,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz8388608_lr0p02/result.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,16M,16777216,native_lite,native LITE,,,0.04,44,1.29513925735,complete,full_or_historical,,8,sweep_results_v9/lite_bsz16777216_lr0.04_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,16M,16777216,native_muon,native Muon,,,0.04,42,1.3259978533,complete,full_or_historical,,8,sweep_results_v9/muon_bsz16777216_lr0.04_s42.json,historical native Muon/LITE or older streaming Top-Aware control
