catalog_source,source,family,batch_label,batch,method,variant,alpha,top_k,lr,seed,score,status,quality,tokens,depth,path,notes
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.005,42,0.897419145507,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.005_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.005,43,0.897291546547,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.005_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.005,44,0.896388033325,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.005_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.01,42,0.894137297374,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.01_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.01,43,0.893554369321,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.01_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.01,44,0.893412769118,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.02,42,0.896160404864,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.02_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.02,43,0.896221028804,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.02_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.02,44,0.895569826646,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.02_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.04,42,0.904417457687,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.04_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.04,43,0.904709029971,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.04_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.04,44,0.903878048962,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.04_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,streaming_identity,alpha=1 identity,1,,0.005,42,0.920044804556,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p005/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,streaming_identity,alpha=1 identity,1,,0.01,42,0.916967759255,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p01/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,streaming_identity,alpha=1 identity,1,,0.02,42,0.919606251337,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p02/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,streaming_identity,alpha=1 identity,1,,0.04,42,0.927472967247,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p04/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.005,42,0.920470678639,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p005/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.01,42,0.917040211464,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p01/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.02,42,0.919899900139,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p02/result.json,
