time,method,batch,lr,seed,top_k,alpha,score,error,result_json,log_file
2026-05-12 23:52:13 UTC,adamw,262144,0.000125,42,,,1.7159460352803793,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p000125_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p000125_s42.log
2026-05-12 23:53:25 UTC,adamw,262144,0.00025,42,,,1.6988240650139734,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p00025_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p00025_s42.log
2026-05-12 23:54:37 UTC,adamw,262144,0.0005,42,,,1.6776381809754066,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p0005_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p0005_s42.log
2026-05-12 23:55:50 UTC,adamw,262144,0.001,42,,,1.7189329242279958,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p001_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p001_s42.log
2026-05-12 23:57:02 UTC,adamw,262144,0.002,42,,,1.7447660138738676,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p002_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p002_s42.log
2026-05-12 23:58:15 UTC,adamw,262144,0.004,42,,,2.0965812738976757,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p004_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p004_s42.log
2026-05-12 23:59:27 UTC,adamw,262144,0.008,42,,,2.12581629542678,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p008_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p008_s42.log
2026-05-13 00:00:39 UTC,adamw,262144,0.015,42,,,2.135214467375294,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p015_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p015_s42.log
2026-05-13 00:01:52 UTC,adamw,262144,0.03,42,,,2.2802342948941634,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p03_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p03_s42.log
2026-05-13 00:03:04 UTC,adamw,262144,0.06,42,,,2.3112858538527163,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p06_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/adamw_bsz262144_lr0p06_s42.log
2026-05-13 00:04:31 UTC,soap,262144,0.000125,42,,,1.7426660183501226,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p000125_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p000125_s42.log
