depth,batch,batch_label,alpha,alpha_label,lr,seed,top_k,score,error,result_json
d16,2097152,2M,0.5,c=0.5,0.04,42,1,0.7839697318655596,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz2097152_lr0p04_s42/result.json
d16,524288,512K,0.5,c=0.5,0.005,42,1,0.750463564930939,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz524288_lr0p005_s42/result.json
d16,524288,512K,0.5,c=0.5,0.0075,42,1,0.7527434027323024,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d16,524288,512K,0.5,c=0.5,0.015,42,1,0.7620296985822499,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz524288_lr0p015_s42/result.json
d16,524288,512K,0.5,c=0.5,0.01,42,1,0.7558835416465438,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz524288_lr0p01_s42/result.json
d16,524288,512K,0.5,c=0.5,0.02,42,1,0.7671288285592189,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz524288_lr0p02_s42/result.json
d16,524288,512K,0.5,c=0.5,0.03,42,1,0.7760589178673566,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz524288_lr0p03_s42/result.json
d16,524288,512K,0.5,c=0.5,0.04,42,1,0.78005022810923,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz524288_lr0p04_s42/result.json
d16,8388608,8M,0.5,c=0.5,0.005,42,1,0.808298290869825,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz8388608_lr0p005_s42/result.json
d16,8388608,8M,0.5,c=0.5,0.0075,42,1,0.798761143301459,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz8388608_lr0p0075_s42/result.json
d16,8388608,8M,0.5,c=0.5,0.015,42,1,0.7964303670951134,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz8388608_lr0p015_s42/result.json
d16,8388608,8M,0.5,c=0.5,0.01,42,1,0.7972836397225243,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz8388608_lr0p01_s42/result.json
d16,8388608,8M,0.5,c=0.5,0.02,42,1,0.7974003705481661,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz8388608_lr0p02_s42/result.json
d16,8388608,8M,0.5,c=0.5,0.03,42,1,0.846991480079058,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz8388608_lr0p03_s42/result.json
d16,8388608,8M,0.5,c=0.5,0.04,42,1,0.8649590423598902,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a0p5_bsz8388608_lr0p04_s42/result.json
d16,2097152,2M,1.0,c=1,0.005,42,1,0.7529862840032843,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz2097152_lr0p005_s42/result.json
d16,2097152,2M,1.0,c=1,0.0075,42,1,0.7586866030928237,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz2097152_lr0p0075_s42/result.json
d16,2097152,2M,1.0,c=1,0.015,42,1,0.767093468756045,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz2097152_lr0p015_s42/result.json
d16,2097152,2M,1.0,c=1,0.01,42,1,0.7664375009320002,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz2097152_lr0p01_s42/result.json
d16,2097152,2M,1.0,c=1,0.02,42,1,0.7738713923390332,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz2097152_lr0p02_s42/result.json
d16,2097152,2M,1.0,c=1,0.03,42,1,0.7699013124707867,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz2097152_lr0p03_s42/result.json
d16,2097152,2M,1.0,c=1,0.04,42,1,0.7756127177281246,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz2097152_lr0p04_s42/result.json
d16,524288,512K,1.0,c=1,0.005,42,1,0.7500074379617175,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz524288_lr0p005_s42/result.json
d16,524288,512K,1.0,c=1,0.0075,42,1,0.7521516332394301,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz524288_lr0p0075_s42/result.json
d16,524288,512K,1.0,c=1,0.015,42,1,0.760219175217685,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz524288_lr0p015_s42/result.json
d16,524288,512K,1.0,c=1,0.01,42,1,0.7547451443767363,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz524288_lr0p01_s42/result.json
d16,524288,512K,1.0,c=1,0.02,42,1,0.7646455994309921,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz524288_lr0p02_s42/result.json
d16,524288,512K,1.0,c=1,0.03,42,1,0.7732910713070246,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz524288_lr0p03_s42/result.json
d16,524288,512K,1.0,c=1,0.04,42,1,0.7797718421178481,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz524288_lr0p04_s42/result.json
d16,8388608,8M,1.0,c=1,0.005,42,1,0.8014389238057557,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz8388608_lr0p005_s42/result.json
d16,8388608,8M,1.0,c=1,0.0075,42,1,0.7937607744140927,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz8388608_lr0p0075_s42/result.json
d16,8388608,8M,1.0,c=1,0.015,42,1,0.7998029532400556,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz8388608_lr0p015_s42/result.json
d16,8388608,8M,1.0,c=1,0.01,42,1,0.8300223974862118,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz8388608_lr0p01_s42/result.json
d16,8388608,8M,1.0,c=1,0.02,42,1,0.8236935723869779,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz8388608_lr0p02_s42/result.json
d16,8388608,8M,1.0,c=1,0.03,42,1,0.8047527460155051,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz8388608_lr0p03_s42/result.json
d16,8388608,8M,1.0,c=1,0.04,42,1,0.805873970594017,,search_evals/sweep_prefix_003_d16_2x/top_aware_k1_a1_bsz8388608_lr0p04_s42/result.json
