depth,batch,batch_label,alpha,lr,step,progress,loss,score,result_json
d12,524288,512K,0.5,0.0075,2100,0.32407407407407407,3.0632326336076505,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2150,0.3317901234567901,3.062735871562587,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2200,0.3395061728395062,3.0613032523801653,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2250,0.3472222222222222,3.061536752591467,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2300,0.3549382716049383,3.0563281499841715,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2350,0.3626543209876543,3.0441558269036606,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2400,0.37037037037037035,3.0422836105125306,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2450,0.37808641975308643,3.0330555014035077,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2500,0.38580246913580246,3.030483915905969,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2550,0.39351851851851855,3.015776220745463,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
