depth,batch_label,batch,alpha,top_k,lr,seed,score,val_bpb_best,val_bpb_final,train_loss_final,steps_completed,tokens,chinchilla_mult,sweep,result_json
12,512K,524288,1.0,1,0.005,42,0.8156974746012016,0.8156974746012016,0.8156974746012016,2.6975889619699376,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz524288_lr0p005_s42/result.json
12,512K,524288,1.0,1,0.0075,42,0.8151038211843896,0.8151038211843896,0.8151038211843896,2.6968594192826485,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz524288_lr0p0075_s42/result.json
12,512K,524288,1.0,1,0.01,42,0.8158152923060393,0.8158152923060393,0.8158152923060393,2.7012328668176417,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz524288_lr0p01_s42/result.json
12,512K,524288,1.0,1,0.015,42,0.8191019425358909,0.8191019425358909,0.8191019425358909,2.711335569493803,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz524288_lr0p015_s42/result.json
12,512K,524288,1.0,1,0.02,42,0.8233472926751575,0.8233472926751575,0.8233472926751575,2.7235748240463242,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz524288_lr0p02_s42/result.json
12,512K,524288,1.0,1,0.03,42,0.8286693778045164,0.8286693778045164,0.8286693778045164,2.7408209522511844,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz524288_lr0p03_s42/result.json
12,512K,524288,1.0,1,0.04,42,0.8327720569346653,0.8327720569346653,0.8327720569346653,2.753924415502006,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1_bsz524288_lr0p04_s42/result.json
12,512K,524288,1.15,1,0.005,42,0.8154629985293349,0.8154629985293349,0.8154629985293349,2.6980951902344543,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p005_s42/result.json
12,512K,524288,1.15,1,0.0075,42,0.8152350437326438,0.8152350437326438,0.8152350437326438,2.696974558281942,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p0075_s42/result.json
12,512K,524288,1.15,1,0.01,42,0.8161234587873895,0.8161234587873895,0.8161234587873895,2.701295329999506,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p01_s42/result.json
12,512K,524288,1.15,1,0.015,42,0.8193425775898677,0.8193425775898677,0.8193425775898677,2.710965195107341,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p015_s42/result.json
12,512K,524288,1.15,1,0.02,42,0.8223861291728982,0.8223861291728982,0.8223861291728982,2.7219730001860336,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p02_s42/result.json
