source,batch_label,batch,method,lr,seed,score,status,path
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.875,0.02,42,0.9170860737120572,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p875_bsz262144_lr0p02_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.875,0.04,42,0.9245332188817253,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p875_bsz262144_lr0p04_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,native_muon,0.005,42,0.9303771415785669,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/native_muon_bsz524288_lr0p005_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,native_muon,0.01,42,0.9219397196211823,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/native_muon_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,native_muon,0.02,42,0.9272390190656632,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/native_muon_bsz524288_lr0p02_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,native_muon,0.04,42,0.9297546322019163,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/native_muon_bsz524288_lr0p04_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,streaming_identity,0.005,42,0.9301705078795204,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/streaming_identity_bsz524288_lr0p005_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,streaming_identity,0.01,42,0.9209642230840286,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/streaming_identity_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,streaming_identity,0.02,42,0.9261747685729234,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/streaming_identity_bsz524288_lr0p02_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,streaming_identity,0.04,42,0.9291921132540211,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/streaming_identity_bsz524288_lr0p04_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.25,0.005,42,0.9566917113050721,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p25_bsz524288_lr0p005_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.25,0.01,42,0.9238973782986846,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p25_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.25,0.02,42,0.9323046601372742,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p25_bsz524288_lr0p02_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.25,0.04,42,0.9412548988274259,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p25_bsz524288_lr0p04_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.5,0.005,42,0.931557460509551,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p5_bsz524288_lr0p005_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.5,0.01,42,0.9222030109473867,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p5_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.5,0.02,42,0.9227639359466917,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p5_bsz524288_lr0p02_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.5,0.04,42,0.9294100494976157,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p5_bsz524288_lr0p04_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.75,0.005,42,0.9310727552337371,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p75_bsz524288_lr0p005_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.75,0.01,42,0.929372374349122,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p75_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.75,0.02,42,0.9245234378335586,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p75_bsz524288_lr0p02_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.75,0.04,42,0.9285073674301472,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p75_bsz524288_lr0p04_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.875,0.005,42,0.9304600269052532,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p875_bsz524288_lr0p005_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.875,0.01,42,0.9249701781520442,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p875_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.875,0.02,42,0.9256745585244601,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p875_bsz524288_lr0p02_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.875,0.04,42,0.9287302304239294,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p875_bsz524288_lr0p04_s42/result.json
