depth,optimizer,batch_size,batch_label,lr,seed,score_best_val_bpb,final_val_bpb,train_loss_final,steps_completed,max_steps,eval_time_seconds,error,precondition_frequency,architecture,path
16,shampoo,2097152,2M,0.02,42,2.3585881407142253,2.3585881407142253,7.708208252090707,3840.0,3840,5124.077293395996,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p02_s42/result.json
16,shampoo,2097152,2M,0.03,42,,,,,3840,9.744708776473999,PytorchStreamReader failed reading zip archive: failed finding central directory,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p03_s42/result.json
16,shampoo,2097152,2M,0.04,42,2.9397296940571835,,,3840.0,3840,4947.8434154987335,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz2097152_lr0p04_s42/result.json
16,shampoo,8388608,8M,0.005,42,1.124942864699766,1.124942864699766,3.7008934892547307,960.0,960,3229.5358011722565,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p005_s42/result.json
16,shampoo,8388608,8M,0.0075,42,1.102786469997855,1.102786469997855,3.629353176284514,960.0,960,3239.31862783432,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p0075_s42/result.json
16,shampoo,8388608,8M,0.01,42,1.53443025353475,1.53443025353475,5.017489960272692,960.0,960,3199.3138053417206,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p01_s42/result.json
16,shampoo,8388608,8M,0.015,42,1.2842745725532947,1.2842745725532947,4.202519280967655,960.0,960,3213.717175722122,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p015_s42/result.json
16,shampoo,8388608,8M,0.02,42,1.1818741766510026,1.1818741766510026,3.888523437670761,960.0,960,3222.2346494197845,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p02_s42/result.json
16,shampoo,8388608,8M,0.03,42,1.5241462025829473,1.5241462025829473,4.988261461082109,960.0,960,3198.027779817581,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p03_s42/result.json
16,shampoo,8388608,8M,0.04,42,1.5138995402754842,1.5138995402754842,4.960902342456806,960.0,960,3228.84299325943,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/shampoo_bsz8388608_lr0p04_s42/result.json
16,soap,524288,512K,0.005,42,2.1694513069640253,2.1694513069640253,7.096464685545995,15360.0,15360,15036.127900600433,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p005_s42/result.json
16,soap,524288,512K,0.0075,42,2.235718766290996,2.5187808018081497,8.29898791528716,15360.0,15360,14630.613000631332,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p0075_s42/result.json
16,soap,524288,512K,0.01,42,2.264387451300412,2.468898553569977,8.10201665076066,15360.0,15360,14624.108317375183,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p01_s42/result.json
16,soap,524288,512K,0.015,42,2.277320589145739,2.29080151410581,7.493287155306245,15360.0,15360,14731.899854660034,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p015_s42/result.json
16,soap,524288,512K,0.02,42,2.2377016686960336,2.2377016686960336,7.30980125698593,15360.0,15360,14565.488322734833,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p02_s42/result.json
16,soap,524288,512K,0.03,42,2.2308966455917605,2.2308966455917605,7.2890067742523605,15360.0,15360,14690.048380851746,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p03_s42/result.json
16,soap,524288,512K,0.04,42,2.2652733303037005,2.3073945364968678,7.5376539586727285,15360.0,15360,14779.07916378975,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz524288_lr0p04_s42/result.json
